trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.7, 'e': 0.15249857033260467}",20,0,-29.78513879842296,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
44,False,"{'a': 0.7, 'e': 0.15075567228888181}",30,0,-17.85694307563256,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
45,False,"{'a': 0.7, 'e': 0.14907119849998599}",25,0,-10.715011094877767,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.7, 'e': 0.14744195615489714}",25,20,9.111809649818996,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.14586499149789456}",30,13,-5.939832614144581,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.14433756729740646}",35,26,1.072210281041893,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.14285714285714285}",20,13,-30.12128668793017,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.7, 'e': 0.1414213562373095}",20,15,-32.46379303834363,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.7, 'e': 0.14002800840280097}",20,0,-36.066100998582726,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
52,False,"{'a': 0.7, 'e': 0.1386750490563073}",20,13,5.101113878231826,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.13736056394868904}",20,0,-53.79060309644993,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
54,False,"{'a': 0.7, 'e': 0.13608276348795434}",20,0,1.6220282192684423,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.7, 'e': 0.13483997249264842}",20,0,-19.74914426917837,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
56,False,"{'a': 0.7, 'e': 0.1336306209562122}",20,11,-9.41332816431607,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.13245323570650439}",20,8,22.28777667067759,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.7, 'e': 0.13130643285972254}",20,0,-18.013369131959568,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.7, 'e': 0.13018891098082389}",30,16,14.580842633848802,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.12909944487358055}",30,10,-109.56272660313022,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",1
61,False,"{'a': 0.7, 'e': 0.12803687993289598}",20,11,15.609535742853915,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.1270001270001905}",20,7,20.98086246304444,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.1259881576697424}",20,0,-44.9367235028317,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
64,False,"{'a': 0.7, 'e': 0.125}",30,0,38.657819854180126,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.7, 'e': 0.12403473458920847}",20,9,5.350333783125306,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.12309149097933272}",25,10,2.8288710331996327,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.12216944435630522}",25,11,0.8812697697339993,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.7, 'e': 0.12126781251816648}",20,7,0.46176338138528106,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.1203858530857692}",25,6,-3.5300276366005985,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.11952286093343936}",20,2,-42.35893408593858,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.7, 'e': 0.11867816581938533}",35,14,10.76363909023205,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.11785113019775793}",20,0,23.47140867006901,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.7, 'e': 0.11704114719613057}",20,6,21.807946590805724,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.11624763874381928}",20,0,6.344664639281775,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
75,False,"{'a': 0.7, 'e': 0.11547005383792514}",20,0,19.724953245091555,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.7, 'e': 0.11470786693528087}",25,7,-20.132020756949135,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.7, 'e': 0.11396057645963795}",20,0,-100.11090694299885,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",1
78,False,"{'a': 0.7, 'e': 0.11322770341445956}",20,1,28.943631595239953,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.7, 'e': 0.1125087900926024}",25,0,17.954345107521387,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
80,False,"{'a': 0.7, 'e': 0.11180339887498948}",25,9,2.8281080287010405,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.1111111111111111}",25,0,20.404055068663595,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.7, 'e': 0.11043152607484653}",20,0,32.48838529355681,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.7, 'e': 0.10976425998969035}",30,17,-23.31824792021381,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.7, 'e': 0.1091089451179962}",20,0,20.166772444288224,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.7, 'e': 0.10846522890932808}",20,0,6.833821388156028,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.7, 'e': 0.10783277320343841}",25,0,4.416163985611266,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.7, 'e': 0.10721125348377948}",25,8,29.797023842688525,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.10660035817780521}",25,0,-10.998217665491529,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
89,False,"{'a': 0.7, 'e': 0.105999788000636}",25,15,16.743970391915454,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.10540925533894598}",30,24,10.105259983624542,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.10482848367219183}",25,0,-15.462145879731635,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
92,False,"{'a': 0.7, 'e': 0.10425720702853739}",20,0,-23.710313272662933,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
93,False,"{'a': 0.7, 'e': 0.10369516947304253}",25,11,23.77182695385032,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.10314212462587934}",25,0,7.758922918177914,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.7, 'e': 0.10259783520851541}",35,20,23.993848972315334,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.10206207261596577}",25,3,10.132660217500476,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.10153461651336192}",30,0,-31.75529925849987,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
98,False,"{'a': 0.7, 'e': 0.10101525445522107}",20,0,21.577695383231102,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
